0,2555.33333,1999.54253
0.05,3601.33333,2441.80801
0.1,3938,2563.37843
0.15,4075.66667,2617.75101
0.2,5213.66667,2547.9824
0.25,6394.33333,3576.6893
0.3,8085.66667,4446.75717
0.35,9196.33333,5253.09626
0.4,10145,4974.2319
0.45,12319,6063.03546
0.5,13625.66667,6281.93556
0.55,15959.33333,7968.51042
0.6,18185.33333,7092.64579
0.65,20909.33333,9923.75445
0.7,24674.66667,12074.11903
0.75,27651,14600.62506
0.8,31787.33333,14778.44814
0.85,36397.33333,17426.5882
0.9,39088,18075.55861
0.95,43714.66667,22258.49324
1,44781,21257.74755
1.05,47479.66667,21968.19534
1.1,50678.66667,23089.76354
1.15,53162.66667,23420.58467
1.2,55641.66667,20693.32444
1.25,59760,22095.15813
1.3,63296.66667,25001.78354
1.35,64782.33333,25772.18839
1.4,69525,25707.50772
1.45,71544.66667,26444.87217
1.5,77228,23601.98727
1.55,80092.66667,25503.58458
1.6,83212.33333,26972.92172
1.65,81688.66667,26137.69617
1.7,85198.66667,23919.92885
1.75,87951.33333,24662.03715
1.8,88207,27752.28255
1.85,92827,31930.24001
1.9,93793.66667,30428.94164
1.95,98564,29558.67742
2,98767.66667,28727.30183
2.05,99213,28055.49353
2.1,104500.3333,31750.9415
2.15,111542.3333,32653.46416
2.2,110300.3333,34418.26167
2.25,116133.3333,38163.59436
2.3,119264.6667,39610.82308
2.35,122742,43972.45028
2.4,125241.6667,41557.95282
2.45,133382.3333,46839.5276
2.5,141922.6667,54323.27102
2.55,149349,60183.80009
2.6,155007.6667,66420.45244
2.65,161072.3333,72602.35192
2.7,165793.6667,76558.2733
2.75,169591.6667,80627.74984
2.8,171360,80683.3777
2.85,175124.6667,79785.43302
2.9,184204.6667,86431.31323
2.95,188940.6667,85672.5502
3,191745,75230.0117
3.05,197902.3333,73397.417
3.1,208790,70047.62528
3.15,215947,64196.14027
3.2,222182.3333,67969.05073
3.25,226003.3333,68117.22368
3.3,233997,62014.63859
3.35,237542.3333,72978.88715
3.4,240719.6667,78393.9278
3.45,252511.3333,85111.0297
3.5,253221.6667,72785.6956
3.55,256136.3333,64001.49302
3.6,255313.3333,70447.3769
3.65,261959,75004.45651
3.7,280240.3333,65873.35888
3.75,287311,68855.78448
3.8,296157,77762.65204
3.85,304261.3333,76302.7958
3.9,304279.6667,70944.93934
3.95,308207,71090.47857
4,308234.3333,65681.77148
4.05,314694,63996.2006
4.1,317472.3333,64539.97612
4.15,317449.6667,59574.0604
4.2,318675.3333,56028.47501
4.25,333125,53422.49373
4.3,335044,48627.33522
4.35,338183.3333,47449.18908
4.4,338255.6667,49853.89885
4.45,337964.3333,46675.62817
4.5,343188.3333,46183.80141
4.55,340880.6667,41437.41221
4.6,345138,33264.33542
4.65,342866.3333,39377.87203
4.7,348093.6667,36815.54202
4.75,356052.3333,35324.01926
4.8,347225.6667,32534.39696
4.85,348413.3333,32029.43559
4.9,347899.3333,29045.4298
4.95,353998,31646.19685
5,351995.6667,29665.34706
5.05,349955.3333,18109.24097
5.1,356020.6667,10315.8643
5.15,349400.6667,24928.86071
5.2,351803.3333,27056.81033
5.25,349064.6667,22407.76029
5.3,353498.6667,17397.2787
5.35,350788.3333,21387.47863
5.4,351776.6667,27247.96142
5.45,362208.6667,12086.10067
5.5,364310.3333,10903.78294
5.55,359968.3333,11423.59074
5.6,367418,20770
5.65,369621.6667,21075.52536
5.7,366895,20023.44813
5.75,371148.3333,13320.47868
5.8,367418,10307.9692
5.85,369962.3333,8705.61637
5.9,366311,12598.70474
5.95,369311,13800.48796
6,371090,19197.68598
6.05,375998.3333,14307.15158
6.1,378966.6667,1531.67109
6.15,377917,12308.86741
6.2,378626.6667,26054.35628
6.25,374462.6667,31254.64472
6.3,376910.6667,17448.87484
6.35,374269.3333,18845.658
6.4,380892,13807.4557
6.45,376252,20422.32178
6.5,379675.6667,15619.71144
6.55,379383,16002.76773
6.6,378148.3333,13968.23916
6.65,381707.6667,21278.48802
6.7,371545,31428.53183
6.75,381296.3333,28055.43534
6.8,376963.6667,25585.70582
6.85,384630.3333,26543.8488
6.9,382980.6667,27518.38877
6.95,391421.6667,27487.21718
7,389653.6667,29861.13481
7.05,393140.6667,28638.42769
7.1,389914.3333,25113.8827
7.15,390527.6667,20138.08892
7.2,396555.6667,22086.61324
7.25,393306.3333,31565.96148
7.3,393894,31721.15671
7.35,395334,25149.81344
7.4,399670,26435.22531
7.45,400674.6667,33121.9488
7.5,399810,28358.73142
7.55,402703,34235.03289
7.6,408660,46989.21494
7.65,411733.3333,54702.84942
7.7,415912,50930.59272
7.75,413470.3333,51719.53555
7.8,414261.6667,57035.359
7.85,418340.3333,43762.66606
7.9,410800.6667,49318.21673
7.95,413363.3333,45738.53308
8,409084.3333,44514.94581
8.05,415594,43699.05927
8.1,416357.3333,32836.81794
8.15,416136.6667,29208.19461
8.2,415774,28452.19213
8.25,412968,29888.9192
8.3,415857.6667,34132.67844
8.35,413554.3333,34297.96987
8.4,405138,33545.73506
8.45,409502.6667,29693.73438
8.5,411242,26359.88566
8.55,411289.6667,29648.06977
8.6,416914.3333,33795.87327
8.65,417614.6667,38103.38403
8.7,415668.6667,35802.23541
8.75,417127.3333,33568.10153
8.8,416973,36339.17846
8.85,413739,34725.57889
8.9,418082,32196.10021
8.95,419554.6667,37000.80886
9,416663.6667,41235.44025
9.05,424676.3333,44641.46844
9.1,423721.6667,34429.68351
9.15,423339.6667,40549.66309
9.2,422333.3333,44426.78321
9.25,419153,42410.45073
9.3,423658.3333,43015.26879
9.35,425043.3333,37194.47634
9.4,423243.6667,34726.12873
9.45,425385.3333,40640.55458
9.5,423713,36210.33924
9.55,426476.6667,35546.0157
9.6,425934.3333,40107.67795
9.65,432583.6667,44608.96318
9.7,433459,34828.33359
9.75,436265.6667,33587.53533
9.8,432133,33131.74005
9.85,427765.3333,33979.62955
9.9,431263.6667,29688.29241
9.95,433636,29502.47479
10,430737.6667,33506.6466
10.05,430991.6667,31945.47521
10.1,431353,35636.87496
10.15,431652,44030.48076
10.2,434277,37114.66043
10.25,435197.3333,42968.45179
10.3,439337.3333,38317.47004
10.35,435174.6667,35997.01016
10.4,438095,42378.70112
10.45,436962.6667,40482.20259
10.5,436882.3333,35768.55899
10.55,442280,34749.31051
10.6,443546,37529.94362
10.65,444030.3333,35113.501
10.7,441405.6667,31963.21599
10.75,441678.3333,33811.51106
10.8,442632,35021.80705
10.85,445366.3333,31802.82444
10.9,445078,33056.87821
10.95,447337.3333,29623.68128
11,446424,37735.21791
11.05,450380,34302.98347
11.1,458772.3333,33955.27107
11.15,458943.6667,32637.38918
11.2,460616.3333,34531.37041
11.25,464140,35797.00708
11.3,469335.3333,31948.17585
11.35,463832,30235.92444
11.4,464338.6667,32180.06909
11.45,464817.3333,28863.61887
11.5,467908.3333,29751.76999
11.55,460406.6667,28326.12134
11.6,458173,34810.88904
11.65,458994.3333,30164.31893
11.7,460823.3333,39558.1671
11.75,462738.3333,38252.85821
11.8,467028.6667,39403.88961
11.85,468864,41974.28913
11.9,467378.6667,38097.29619
11.95,465937.6667,33847.45007
12,464492,35141.8793
12.05,462090,28499.16257
12.1,459773.3333,35548.91938
12.15,460073.3333,33433.32697
